Date:01.01.2000 01:00:00	Unit:C	CHARGE:00:00	TP:01:26	DRYe:04:43	FCs:08:16	FCe:	SCs:	SCe:	DROP:10:36	COOL:	Time:01:00
Time1	Time2	ET	BT	Event	Air(%)	Burner(%)	Drum(%)	VacFlag	VacSP(Pa)
00:00	00:00	218.9	199.7	CHARGE	60.0	31.0	0.0	0	0
00:01	00:01	221.2	200.9		60.0	31.0	0.0	0	0
00:02	00:02	222.3	202.3		60.0	31.0	0.0	0	0
00:03	00:03	222.7	202.7		60.0	31.0	0.0	0	0
00:04	00:04	222.0	200.3		60.0	31.0	0.0	0	0
00:05	00:05	219.1	197.0		60.0	31.0	0.0	0	0
00:06	00:06	214.9	194.5		60.0	31.0	0.0	0	0
00:07	00:07	212.2	188.1		60.0	31.0	0.0	0	0
00:08	00:08	206.9	184.2		60.0	31.0	0.0	0	0
00:09	00:09	202.3	180.1		60.0	31.0	0.0	0	0
00:10	00:10	198.1	176.4		60.0	31.0	0.0	0	0
00:11	00:11	194.7	172.3		60.0	31.0	0.0	0	0
00:12	00:12	190.9	167.6		60.0	31.0	0.0	0	0
00:13	00:13	186.0	164.5		60.0	31.0	0.0	0	0
00:14	00:14	182.2	161.9		60.0	31.0	0.0	0	0
00:15	00:15	178.0	157.8		60.0	31.0	0.0	0	0
00:16	00:16	175.6	155.3		60.0	31.0	0.0	0	0
00:17	00:17	171.6	151.5		60.0	31.0	0.0	0	0
00:18	00:18	169.0	149.0		60.0	31.0	0.0	0	0
00:19	00:19	166.4	146.3		60.0	31.0	0.0	0	0
00:20	00:20	163.7	143.5		60.0	31.0	0.0	0	0
00:21	00:21	163.0	141.0		60.0	31.0	0.0	0	0
00:22	00:22	161.8	138.2		60.0	31.0	0.0	0	0
00:23	00:23	160.6	135.7		60.0	31.0	0.0	0	0
00:24	00:24	158.4	133.4		60.0	31.0	0.0	0	0
00:25	00:25	157.6	130.5		60.0	31.0	0.0	0	0
00:26	00:26	156.5	129.2		60.0	31.0	0.0	0	0
00:27	00:27	155.4	127.0		60.0	31.0	0.0	0	0
00:28	00:28	154.2	124.6		60.0	31.0	0.0	0	0
00:29	00:29	152.9	122.0		60.0	31.0	0.0	0	0
00:30	00:30	151.8	120.9		60.0	31.0	0.0	0	0
00:31	00:31	150.9	119.4		60.0	31.0	0.0	0	0
00:32	00:32	149.8	116.8		60.0	31.0	0.0	0	0
00:33	00:33	149.1	116.0		60.0	31.0	0.0	0	0
